electric cars need big fuel cells
electric cars need big fuel cells
Basic
List

0.6 0.6
432 388.8
Moved 1391.218 485.0317 549.0635 0.2894253 0.4142579
Moved 1391.249 488.3889 559.5554 0.2971964 0.4412431
Moved 1391.28 491.2588 565.7762 0.3038397 0.4572434
Moved 1391.31 493 569.7951 0.3078704 0.4675799
Moved 1391.341 495 574.6688 0.3125 0.4801152
Moved 1391.372 496.5386 578.5386 0.3160615 0.4900683
Moved 1391.403 498.0314 582.0629 0.3195172 0.4991328
Moved 1391.433 498 584.9146 0.3194444 0.5064673
Moved 1391.464 498 587.7867 0.3194444 0.5138547
Moved 1391.495 498 590.6578 0.3194444 0.521239
Moved 1391.526 498 593.2028 0.3194444 0.5277849
Moved 1391.556 488.9251 596.0749 0.2984377 0.535172
Moved 1391.587 487.5 597.5 0.2951388 0.5388373
Moved 1391.618 484.5 599.5 0.2881944 0.5439814
Moved 1391.648 484 600.3452 0.287037 0.5461552
Moved 1391.679 481.7868 601 0.2819139 0.5478393
Moved 1391.71 479.9149 603.0851 0.2775807 0.5532025
Moved 1391.741 479.3429 603.6571 0.2762567 0.5546735
Moved 1391.771 478 604.5271 0.2731481 0.5569112
Moved 1391.802 476.7984 605 0.2703667 0.5581275
Moved 1391.833 475.863 606 0.2682013 0.5606995
Expand 1391.833
Moved 1391.864 476 607.2776 0.2685185 0.5639856
Moved 1391.894 475 608.2421 0.2662037 0.5664663
Moved 1391.925 473.4478 609.5522 0.2626107 0.5698358
Moved 1391.956 473 610 0.2615741 0.5709876
Moved 1391.986 471.5 611.5 0.2581018 0.5748456
Stationary 1392.017 471.5 611.5 0.2581018 0.5748456
Ended 1392.048 472 611 0.2592593 0.5735595
Accept 1392.109 2 need
Began 1392.601 414 494 0.125 0.2726337
Stationary 1392.632 414 494 0.125 0.2726337
Moved 1392.663 392.7091 462.5637 0.07571558 0.191779
Moved 1392.693 374.2898 435.3124 0.03307819 0.1216883
Moved 1392.724 358.0157 409.6251 -0.004593332 0.05561993
Moved 1392.755 348.9984 392.9968 -0.02546663 0.01285184
Moved 1392.786 341.3882 376.7765 -0.04308278 -0.02886705
Moved 1392.816 335.9041 362.7603 -0.05577758 -0.06491712
Moved 1392.847 331.0637 350.1912 -0.06698211 -0.09724502
Moved 1392.878 328.1924 342.5773 -0.07362863 -0.116828
Moved 1392.908 325.3226 336.6451 -0.08027181 -0.1320856
Moved 1392.939 322.7567 331.5133 -0.08621145 -0.1452848
Moved 1392.97 319.8867 325.7735 -0.09285475 -0.1600476
Moved 1393.001 318 322.0135 -0.09722222 -0.1697182
Moved 1393.031 316.6277 320.6276 -0.100399 -0.1732829
Moved 1393.062 317 319.6791 -0.09953702 -0.1757224
Stationary 1393.093 317 320 -0.09953702 -0.1748972
Moved 1393.124 317 318.5 -0.09953702 -0.1787552
Moved 1393.154 317 317.3541 -0.09953702 -0.1817024
Moved 1393.185 331.1023 302.3209 -0.06689275 -0.220368
Moved 1393.216 342.5944 284.6083 -0.0402907 -0.265925
Moved 1393.246 350.8262 264.7967 -0.02123559 -0.316881
